Cost,Title,Description,Location,Bedrooms,Bathrooms,Furnished,Space
"KSh 12,000,000",2bdrm Apartment in Kilimani for sale,"2Bedroom Master ensuite Apartment for Sale in kilimani near Yaya Centre 
Elevate your lifestyle in...","Nairobi, Kilimani",2 bedrooms,2 bathrooms,Unfurnished,102sqm
"KSh 13,700,000",3bdrm Apartment in Kilimani for sale,"3bedroom apartments for sale in kilimani. 
a remarkable rare gem located in...","Nairobi, Kilimani",3 bedrooms,2 bathrooms,Unfurnished,130sqm
"KSh 16,500,000","5bdrm Maisonette in Murram, Kiambu / Kiambu  for sale","5 bedroom massionate in Ruiru murram master ensuit with a servant quarter ,water tanks available...","Kiambu, Kiambu / Kiambu",5 bedrooms,3 bathrooms,Unfurnished,5000sqm
"KSh 10,500,000","3bdrm Bungalow in Manna Annex, Ruiru for sale",We are selling Houses which are 3 bedrooms bungalows all ensuite plus a servant quarter in a gated...,"Kiambu, Ruiru",3 bedrooms,4 bathrooms,Semi-Furnished,165sqm
"KSh 23,000,000",RAYOHPROPERTY 3bedroom for Sale Beach Acces Kikambala,3bedroom are exquistely placed overlooking the entire resort with best view of the surrounding...,"Kilifi, Mtwapa",1 bedroom,1 bathroom,Unfurnished,60sqm
"KSh 6,500,000",1bdrm Apartment in Kileleshwa for sale,"These apartments are located in Kileleshwa along Mandera road. 
1, 2,3 and 4 bedrooms available...","Nairobi, Kileleshwa",6 bedrooms,3 bathrooms,Unfurnished,4046sqm
"KSh 50,500,000",6bdrm Maisonette in Nakuru Town East for sale,6 bedrooms newly built mansionatte sitting on 1 acre of land at Barnabas 500 meters from Nku-Nrb...,"Nakuru, Nakuru Town East",3 bedrooms,3 bathrooms,Unfurnished,200sqm
"KSh 14,000,000",3bdrm Apartment in Muthaiga Square for Sale,"Three bedroom apartment with an area of approximately 2000sq ft with the following features:
Two...","Nairobi, Muthaiga",4 bedrooms,2 bathrooms,Semi-Furnished,349sqm
"KSh 6,000,000",Executive 2bedroom Apartment Sale Mtwapa RAYOHPROPERTY,"2bedroom for sale apartment 6m with silent features
__swimming pool
__backup generator
__borehole...","Kilifi, Mtwapa",2 bedrooms,2 bathrooms,Unfurnished,nan
"KSh 13,700,000",Rayohproperty 3bedroom Serena Shanzu for Sale With Pool,"Specious modarn house serena shanzu 3bedroom with silent features
for sale and rental
✓balcony
✓free...","Kilifi, Mtwapa",4 bedrooms,4 bathrooms,Unfurnished,186sqm
"KSh 5,400,000","4bdrm Bungalow in Wambu Street-Kaurai, Kiserian for sale","	The house is surrounded by stone -wall and is equipped with metal grill for security.
	It is...","Kajiado, Kiserian",5 bedrooms,5 bathrooms,Unfurnished,295sqm
"KSh 6,700,000",RAYOHPROPERTY Executive 2bedroom for Sale Mtwapa,"Executive 2bedroom with swimming in quite environment in all complex 6tenarts
features
are
✓backup...","Kilifi, Mtwapa",4 bedrooms,3 bathrooms,Unfurnished,200sqm
"KSh 7,000,000",3bedroom Bungalow for Sale With Master Mtwapa With RAYOHPROPERTIES,"New built 3bedroom in gated community for sale rayohproperties owncompound bungalow, features are...","Kilifi, Kilifi South",5 bedrooms,5 bathrooms,Unfurnished,5000sqm
"KSh 14,500,000","2bdrm Apartment in Rayohproperty, Mtwapa for Sale",Magnificent 2bedroom for sale penthouse and 3rd floor for sale shanzu Serena with beach view other...,"Kilifi, Mtwapa",5 bedrooms,5 bathrooms,Unfurnished,5000sqm
"KSh 4,900,000",Modarn 3bedroom for Sale Per Units RAYOHPROPERTY,"Modarn 3bedroom and 2broom available sale mtwapa with silent features
✓ground parking
✓service...","Kilifi, Mtwapa",5 bedrooms,5 bathrooms,Unfurnished,400sqm
"KSh 18,000,000","4bdrm Apartment in Kilimani, Hurlingham for sale",An iconic structure located at wood avenue a stone’s throw away from Yaya Centre in Nairobi....,"Nairobi, Kilimani",2 bedrooms,2 bathrooms,Unfurnished,94sqm
"KSh 29,500,000",5bdrm Apartment in Kilimani for Sale,"Amenities:
-Reception
-Residents lounge
-Indoor swimming pool
-Fully fitted gym
-Children's play...","Nairobi, Kilimani",5 bedrooms,5 bathrooms,Furnished,2023sqm
"KSh 12,000,000","4bdrm Maisonette in Stage 26, Ruai for sale","4 bedroom with title deed master ensuite less than a kilometre from tarmac going for 12m
sitting on...","Nairobi, Ruai",2 bedrooms,1 bathroom,Unfurnished,90sqm
"KSh 35,000,000",5bdrm Maisonette in Nyali for Sale,"Nyali five bedroom all en suite maisonette for sale, in a gated community houses of eight, swimming...","Mombasa, Nyali",1 bedroom,1 bathroom,Unfurnished,70sqm
"KSh 22,000,000",5bdrm Maisonette in Nyali for Sale,"Nyali five bedroom maisonette for sale, in a gated community of four houses, very spacious rooms,...","Mombasa, Nyali",5 bedrooms,3 bathrooms,Semi-Furnished,900sqm
"KSh 125,000,000",5bdrm Maisonette in Nyali for Sale,"Nyali five bedroom maisonette for sale, on a one acre plot, perimeter wall fenced, all bedrooms are...","Mombasa, Nyali",3 bedrooms,2 bathrooms,Unfurnished,1000sqm
"KSh 15,000,000","4bdrm Apartment in Mkoroshoni, Sokoni for Sale","Kilifi house on sale 
4 bedroom
All bedrooms are ensuite
Plot size is 80 by 100
With ready title...","Kilifi, Kilifi North",3 bedrooms,2 bathrooms,Unfurnished,200sqm
"KSh 10,000,000","2bdrm Apartment in Raphta Area, Westlands for sale",Purchase these ideal apartments located in best part of westlands Nairobi in Raphta road. The...,"Nairobi, Westlands",2 bedrooms,2 bathrooms,Unfurnished,87sqm
"KSh 64,000,000",Furnished 5bdrm Villa in Malindi for sale,"5 bedroom Villa in a 1/2 acre piece of land in Malindi. Has a swimming pool and a staff house. 
400...","Kilifi, Malindi",3 bedrooms,4 bathrooms,Unfurnished,220sqm
"KSh 6,000,000",2bdrm Apartment in Mtwapa Gardens for sale,Spacious Two bedroom for sale,"Kilifi, Mtwapa",3 bedrooms,2 bathrooms,Unfurnished,12sqm
"KSh 4,500,000","1bdrm Apartment in Cornerstone, State House Area for sale","This studio is located in the quiet area of Kilimani, on woodlands road close to gate D of...","Nairobi, Kilimani",4 bedrooms,3 bathrooms,Unfurnished,145sqm
"KSh 39,500,000",5bdrm Bungalow in 305 Ngong for sale,"Beautiful Mature property along Ngong Rd. Very secure and serene,
*Matured Lawns and Natural Fence ,...","Kajiado, Ngong",3 bedrooms,2 bathrooms,Unfurnished,130sqm
"KSh 6,500,000",3bdrm Bungalow in Ngong Matasia for sale,"Your Dream Bungalow in Matasia, Ngong!
 3 Bed, Master Ensuite  Spacious Living & Dining  Modern...","Kajiado, Ngong",4 bedrooms,3 bathrooms,Unfurnished,12sqm
"KSh 7,000,000",3bdrm Apartment in Mtwapa Luxury for sale,"A 3 bedroom spacious apartment located at Mtwapa Luxury, It is located on the upper floor in a...","Kilifi, Mtwapa",3 bedrooms,3 bathrooms,Unfurnished,4060sqm
"KSh 8,600,000","2bdrm Apartment in Kilimani, Hurlingham for sale","2 & 3 Bedroom Apartment for sale in Kilimani, Nairobi from 
Location: Kirichwa Road, Off Argwings...","Nairobi, Kilimani",4 bedrooms,4 bathrooms,Unfurnished,12sqm
"KSh 25,000,000","3bdrm Duplex in Kilimani, Hurlingham for sale","These are amazing duplex apartments for sale in Kilimani, near Yaya Center – along Kirichwa road. In...","Nairobi, Kilimani",1 bedroom,1 bathroom,Unfurnished,95sqm
"KSh 14,400,000","3bdrm Apartment in Maziwa, Lavington for sale",Stunning secure 3 bedrooms apartment master ensuite. Only 12 units in a compound with 24hrs...,"Nairobi, Lavington",3 bedrooms,3 bathrooms,Unfurnished,165sqm
"KSh 14,600,000",4bdrm Apartment in Kilimani for sale,"4 BEDROOM AT KSH 14.5M 
BOOK WITH ONLY 20%
This project is perfectly poised within the idlyllic...","Nairobi, Kilimani",1 bedroom,1 bathroom,Unfurnished,60sqm
"KSh 8,500,000",3bdrm Bungalow in Syokimau for sale,"The bungalow is located in Syokimau approximately 2kms from Mombasa road.
In a compound of 9 units...","Machakos, Syokimau",3 bedrooms,3 bathrooms,Unfurnished,125sqm
"KSh 40,000,000","4bdrm Penthouse in Riara, Kilimani for Sale","Outstanding 4 bedrooms duplex or penthouse that boasts of :
Most attractive dining area separate...","Nairobi, Kilimani",6 bedrooms,5 bathrooms,Semi-Furnished,4000sqm
"KSh 5,200,000",3bdrm Maisonette in Ruiru for sale,"brandnew 3bedrooms bungalow at ruiru matangi
selling a brandnew 3bedrooms bungalow along thika road...","Kiambu, Ruiru",4 bedrooms,5 bathrooms,Semi-Furnished,5000sqm
"KSh 21,500,000",4bdrm Apartment in Valley Arcade for Sale,Magnificent secure 4 bedrooms apartment that boasts of brilliant dining area separate from lounge...,"Nairobi, Lavington",4 bedrooms,5 bathrooms,Unfurnished,5000sqm
"KSh 5,500,000",1bdrm Apartment in Ruaka for sale,"An exceptional, modern apartment in Ruaka for sale.
Studios at ksh 3.5m
1 bedrooms 5.5m
2 bedrooms...","Kiambu, Ruaka",1 bedroom,1 bathroom,Unfurnished,70sqm
"KSh 18,500,000",3bdrm Apartment in Riverside Drive for Sale,"For sale: riverside drive
exquisite 3 bedrooms plus dsq apartment for sale. ready for...","Nairobi, Lavington",2 bedrooms,2 bathrooms,Unfurnished,89sqm
"KSh 6,100,000",1bdrm Apartment in Kilimani for sale,"Newly built 1 Bedroom apartment for sale in Kilimani near Yaya centre and CJ's 
The 1 Bedroom...","Nairobi, Kilimani",2 bedrooms,2 bathrooms,Unfurnished,125sqm
"KSh 11,500,000",3bdrm Apartment in Kileleshwa for Sale,"Common Area Features:
Electronic card access lifts and main building entrance
Intercom and TV...","Nairobi, Kileleshwa",5 bedrooms,3 bathrooms,Unfurnished,1091sqm
"KSh 110,000,000",6bdrm Maisonette in Nyali for Sale,"Nyali five bedroom maisonette for sale, own compound house on one acre plot, all bedroom are en...","Mombasa, Nyali",5 bedrooms,4 bathrooms,Unfurnished,5000sqm
"KSh 35,000,000",4bdrm Maisonette in Shanzu for sale,"This well-maintained property features soaring ceilings and windows, four (4) en-suite bedrooms, a...","Mombasa, Shanzu",1 bedroom,1 bathroom,Unfurnished,60sqm
"KSh 35,000,000",4bdrm Maisonette in Nyali for Sale,"Nyali four bedroom maisonette for sale, in a gated community houses of four, three parking space for...","Mombasa, Nyali",4 bedrooms,3 bathrooms,Unfurnished,12sqm
