Cost,Title,Description,Location,Bedrooms,Bathrooms,Furnished,Space
"KSh 15,500,000",2bdrm Apartment in Ukunda for Sale,"Two bedroom apartment on market.
its located along diani beach.
nicely done with a paranoiac view of...","Kwale, Ukunda",2 bedrooms,3 bathrooms,Unfurnished,112sqm
"KSh 6,000,000",1bdrm Apartment in Kileleshwa for sale,"This is a brand new, modern, tastefully done apartments located in the heart of Kileleshwa, with...","Nairobi, Kileleshwa",2 bedrooms,1 bathroom,Unfurnished,66sqm
"KSh 11,250,000",2bdrm Apartment in Westlands for sale,"New 2 Bedroom Apartments 
LOCATION: Westlands, Rhapta rd area 
PRICE GUIDE: 
89 sqm - From Ksh....","Nairobi, Westlands",2 bedrooms,2 bathrooms,Unfurnished,85sqm
"KSh 11,000,000","2bdrm Apartment in Othaya Road, Kileleshwa for sale","EXECUTIVE 2 BEDROOMS APARTMENT FOR SALE.
> The Apartment is located in Othaya Road Kileleshwa....","Nairobi, Kileleshwa",3 bedrooms,3 bathrooms,Unfurnished,12sqm
"KSh 26,000,000",5bdrm Maisonette in Kahawa Sukari Estate for sale,"For Sale Kahawa Sukari elegant barely new mansion
- Large and spacious master bedroom en-suite 
-...","Nairobi, Kahawa",1 bedroom,1 bathroom,Unfurnished,46sqm
"KSh 43,500,000",5bdrm House in Nanyuki for sale,"Large 5 bedroom house sitting on 3.3 acres of a prime Nanyuki area.
Spacious tiled sitting room,...","Laikipia, Nanyuki",2 bedrooms,2 bathrooms,Unfurnished,73sqm
"KSh 5,800,000",1bdrm Apartment in Kilimani for Sale,"This is ideally located near Yaya center in the Kilimani area, along Kindaruma road. The project is...","Nairobi, Kilimani",1 bedroom,1 bathroom,Unfurnished,45sqm
"KSh 48,000,000","4bdrm Townhouse/Terrace in Convent, Lavington for Sale",Stunning secure 4 bedrooms corner townhouse plus Dsq and private garden in a gated community with...,"Nairobi, Lavington",1 bedroom,2 bathrooms,Unfurnished,55sqm
"KSh 11,500,000","2bdrm Apartment in Kilimani, Hurlingham for sale","2 bedroom apartment for sale in kilimani,hurlinhgham
Price List:
2bedroom 112 sqm 11.5m
3bedroom...","Nairobi, Kilimani",3 bedrooms,3 bathrooms,Unfurnished,185sqm
"KSh 6,700,000",2bdrm Apartment in Kilimani for Sale,A nicely done 2 bedroom apartment in Kilimani.,"Nairobi, Kilimani",5 bedrooms,4 bathrooms,Unfurnished,2023sqm
"KSh 7,800,000",2bdrm Apartment in Kileleshwa for Sale,"LIMITED OFFER! Only few units left!
These Apartments are situated in a serene area in Kileleshwa,...","Nairobi, Kileleshwa",3 bedrooms,4 bathrooms,Unfurnished,157sqm
"KSh 29,200,000","3bdrm Apartment in Mbaazi, Lavington for Sale",This Contemporary well designed and finished 3 bedroom all en-suite apartments. It comes amazing...,"Nairobi, Lavington",4 bedrooms,5 bathrooms,Unfurnished,500sqm
"KSh 4,200,000","1bdrm Apartment in Estate, Lower Kabete for sale",Almond heights is a thoughtfully build apartment building in a verybgreat location. Consisting of 1...,"Nairobi, Westlands",5 bedrooms,5 bathrooms,Semi-Furnished,2000sqm
"KSh 7,000,000",3bedroom Bungalow Sale Mtwapa,"3bedroom bungalow for sale mtwapa
features are:
✓gated community
✓children play ground
✓master...","Kilifi, Mtwapa",5 bedrooms,4 bathrooms,Unfurnished,5000sqm
"KSh 9,700,000","2bdrm Apartment in Mzizi Two Rivers, Ruaka for sale","Two rivers 2 bedroom apartments for salel
East Africa leading real estate reputable developer, with...","Kiambu, Ruaka",2 bedrooms,2 bathrooms,Unfurnished,133sqm
"KSh 4,500,000","1bdrm Apartment in Kindaruma Homes, Kilimani for sale","One bedroom apartments for sale in kilimani.
Ideal for a studio too.
Near Ashaki grill, carrefour,...","Nairobi, Kilimani",2 bedrooms,1 bathroom,Unfurnished,79sqm
"KSh 6,000,000","1bdrm Apartment in Kilimani, Hurlingham for sale","Breathtaking 1,2&3 bedroom apartments for sale in kilimani 
this stunningly beautiful apartment is...","Nairobi, Kilimani",3 bedrooms,4 bathrooms,Unfurnished,188sqm
"KSh 14,000,000",3bdrm Apartment in Kilimani for Sale,"A unique fusion of convenience and luxury where skyline views, Exceptional spaces, Impeccable...","Nairobi, Kilimani",1 bedroom,1 bathroom,Unfurnished,55sqm
"KSh 45,000,000",5bdrm Maisonette in Kerarapon for sale,"5 bedroomed Maisonette on half of an Acre.
On sale At Kerarapon 40M
-600 meters of Karen -Ngong...","Kajiado, Ngong",2 bedrooms,2 bathrooms,Furnished,100sqm
"KSh 18,700,000","3bdrm Apartment in Kilimani, Hurlingham for sale","Available units in the same complex include Studios, 1 and 3 bedroom apartments.
Features
- Large...","Nairobi, Kilimani",4 bedrooms,4 bathrooms,Unfurnished,544sqm
"KSh 32,000,000","4bdrm Maisonette in Shanzu, Nyali Mkomani for Sale","Shanzu four bedroom maisonette for sale, Its on an 50 by 100 plot, IN a gated community ,all...","Mombasa, Nyali",1 bedroom,1 bathroom,Unfurnished,65sqm
"KSh 80,000,000",5bdrm Maisonette in Nyali for Sale,"Nyali five bedroom maisonette for sale, Own compound house on half acre plot, in build swimming pool...","Mombasa, Nyali",3 bedrooms,2 bathrooms,Unfurnished,1850sqm
"KSh 27,000,000",5bdrm Maisonette in Nyali for Sale,"Nyali four bedroom own maisonette for sale, perimeter wall fenced, very spacious bedrooms, bore...","Mombasa, Nyali",2 bedrooms,2 bathrooms,Unfurnished,115sqm
"KSh 12,000,000",2bdrm Apartment in Valley Arcade for sale,"FEATURES AND AMENITIES
● Fully equipped gym
● Rooftop club house
● Swimming Pool
● Large balconies
●...","Nairobi, Lavington",1 bedroom,1 bathroom,Unfurnished,61sqm
"KSh 6,000,000","2bdrm Apartment in Camden Court, Mlolongo for sale","An elegant two (2) bedroom apartment situated within Camden Court, Mlolongo. The apartment has a...","Machakos, Mlolongo",3 bedrooms,2 bathrooms,Unfurnished,1800sqm
"KSh 16,000,000","3bdrm Apartment in Nyali Road, Kileleshwa for sale","Three- bedroom apartments for sale in kileleshwa. 
executive three-bedroom apartments for sale...","Nairobi, Kileleshwa",3 bedrooms,2 bathrooms,Unfurnished,140sqm
"KSh 6,000,000","1bdrm Apartment in Nyeri Road, Kileleshwa for sale","One bedroom apartments for sale in kileleshwa nyeri road, gatundu clause. 
> executive 1 bedroom...","Nairobi, Kileleshwa",3 bedrooms,3 bathrooms,Unfurnished,4080sqm
"KSh 180,000","Furnished 2bdrm Apartment in Diani, Ukunda for sale",Bring your family or your spouse or even your holiday buddies to our tastefully furnished...,"Kwale, Ukunda",2 bedrooms,2 bathrooms,Unfurnished,86sqm
"KSh 11,850,000",4bdrm Bungalow in Juja South Estate for sale,"Juja Area of Kiambu County, within Juja South Estate a 4 Bedroom Maisonette with a DSQ developed on...","Kiambu, Juja",2 bedrooms,2 bathrooms,Unfurnished,100sqm
"KSh 6,500,000","1bdrm Apartment in Lavington, Maziwa for sale","This newly built studio 1, 2 bedroom modern apartment designed with high quality finishes and...","Nairobi, Lavington",3 bedrooms,4 bathrooms,Unfurnished,250sqm
"KSh 6,800,000",3bdrm Apartment in Mtwapa for Sale,Newly built 3 bedroom apartment on sale located at mtwapa cbd within a gated estate of two...,"Kilifi, Mtwapa",4 bedrooms,4 bathrooms,Unfurnished,12sqm
"KSh 10,500,000",2bdrm Apartment in Kilimani for sale,"Newly built 2 Bedroom apartment in a very serene environment, high ROI in Kilimani. 
Ready to start...","Nairobi, Kilimani",3 bedrooms,3 bathrooms,Semi-Furnished,140sqm
"KSh 6,100,000",1bdrm Apartment in Lavington for sale,"Executive 1bedroom in Lavington.
Amenities
Lift.
Gym.
Borehole.
Satellite TV.
Dining section.
Ample...","Nairobi, Lavington",1 bedroom,1 bathroom,Unfurnished,100sqm
"KSh 16,700,000",3bdrm Apartment in Kileleshwa for Sale,"Gorgeous 3-bedroom apartment. This beautiful home is located in Kileleshwa along Kandara road, truly...","Nairobi, Kileleshwa",2 bedrooms,2 bathrooms,Unfurnished,107sqm
"KSh 12,000,000",3bdrm Apartment in Kileleshwa for sale,"3 Bedroom Apartment (140sqm) for Sale, Kes 12M
Location: kileleshwa kikambala road
Ready for...","Nairobi, Kileleshwa",5 bedrooms,5 bathrooms,Unfurnished,500sqm
"KSh 8,500,000",3bdrm Bungalow in Kimbo for sale,Selling brand new 3bedrooms bungalow along thika rd ruiru kimbo murera matangi center. about 2.5km...,"Kiambu, Ruiru",4 bedrooms,5 bathrooms,Unfurnished,5000sqm
"KSh 8,800,000",2bdrm Apartment in Kilimani for Sale,A newly done spcious 2 bedroom apartment in Nairobi's upper market.,"Nairobi, Kilimani",3 bedrooms,4 bathrooms,Semi-Furnished,135sqm
"KSh 10,000,000",2bdrm Apartment in Kileleshwa for sale,A modern contemporary apartment located in Kileleshwa suitable for residential or investment...,"Nairobi, Kileleshwa",2 bedrooms,2 bathrooms,Semi-Furnished,130sqm
"KSh 38,000,000",3bdrm Apartment in Westlands for Sale,"MAGNIFICIENT 3 BEDROOM APARTMENT IN WESTLANDS.
• The apartments residence exudes luxury living at...","Nairobi, Westlands",3 bedrooms,2 bathrooms,Unfurnished,12sqm
"KSh 40,000,000","4bdrm Townhouse/Terrace in Lavington Green, Maziwa for Sale",Outstanding 4 bedrooms townhouse with all bedrooms en-suite and with a domestic servant quarter. in...,"Nairobi, Lavington",3 bedrooms,3 bathrooms,Unfurnished,150sqm
"KSh 13,500,000",3bdrm Apartment in Hurlingham for Sale,"Summary
* 3 bedrooms master ensuite
* occupying a plinth area of 140sqm
* spacious lounge opening to...","Nairobi, Kilimani",2 bedrooms,2 bathrooms,Unfurnished,135sqm
"KSh 5,500,000",1bdrm Apartment in Hurlingham for sale,Located on Kilimani's chania avenue morden sizeable unit and studio development enjoys a serene...,"Nairobi, Kilimani",3 bedrooms,3 bathrooms,Semi-Furnished,1700sqm
"KSh 13,000,000",2bdrm Apartment in Kilimani for Sale,"This is a stunning development of 2, 3, and 4 Bedroom apartments. It is located in Kilimani,...","Nairobi, Kilimani",4 bedrooms,2 bathrooms,Semi-Furnished,350sqm
"KSh 25,000,000",5bdrm Maisonette in Nyali for Sale,"Nyali five bedroom maisonette for sale, In a gated community houses of four, Very spacious bedrooms,...","Mombasa, Nyali",4 bedrooms,4 bathrooms,Semi-Furnished,230sqm
"KSh 30,000,000",4bdrm Maisonette in Nyali for sale,"Nyali four bedroom maisonette for sale, in a gated community houses of six, very spacious bedrooms...","Mombasa, Nyali",3 bedrooms,2 bathrooms,Unfurnished,113sqm
"KSh 28,000,000",3bdrm Apartment in Nyali for sale,"Nyali beach apartment for sale, on the 3rd floor, lift available, swimming pool, backup generator,...","Mombasa, Nyali",4 bedrooms,4 bathrooms,Unfurnished,184sqm
"KSh 16,500,000",2bdrm Apartment in Lavington Maziwa for sale,"A lovely 2bedroom apartment for sale in Lavington.
- High quality finishes
- Spacious living room...","Nairobi, Lavington",4 bedrooms,4 bathrooms,Unfurnished,10sqm
"KSh 14,600,000","3bdrm Apartment in Valley Arcade, Lavington for sale","QUICK SALE 13,800,000. Stunning 3 bedrooms apartment master ensuite....","Nairobi, Lavington",4 bedrooms,4 bathrooms,Unfurnished,12sqm
"KSh 4,800,000","3bdrm Bungalow in Ongata Rongai Gated, Rimpa for sale","A 3-bedroom bungalow 2 ensuite, sitting on an eight-acre plot in Rimpa, Ongata Rongai for sale....","Kajiado, Ongata Rongai",1 bedroom,2 bathrooms,Unfurnished,80sqm
"KSh 26,000,000","2bdrm Apartment in Nyeri Road, Lavington for sale","Two and three- bedroom apartments for sale in leafy lavington.
experience the perfect blend of...","Nairobi, Lavington",3 bedrooms,5 bathrooms,Semi-Furnished,150sqm
"KSh 10,500,000","3bdrm Maisonette in Muthama Heights, Syokimau for sale","3 bedroom @ Muthama heights estate massionatte + DSQ
10minutes drive from gateway mall and 500m from...","Machakos, Syokimau",1 bedroom,1 bathroom,Unfurnished,60sqm
"KSh 5,500,000","4bdrm Bungalow in Kaurai-Wambu Close, Kiserian for sale"," 	Equipped with CCTV camera and grill door.
  One of three Identical, newly-built 4-br bungalows....","Kajiado, Kiserian",1 bedroom,1 bathroom,Unfurnished,67sqm
"KSh 29,500,000",4bdrm Apartment in Kilimani for sale,"Exquisite 4bedroom with Sq all en-suite Apartments for sale in kilimani 
	
 4 Beds +SQ ALL Ensuite...","Nairobi, Kilimani",3 bedrooms,3 bathrooms,Unfurnished,160sqm
"KSh 10,500,000","3bdrm Apartment in Runda View, Ruaka for sale",This is a tastefully designed 3 bedroom master ensuite apartment situated in Ruaka. It has a...,"Kiambu, Ruaka",1 bedroom,1 bathroom,Unfurnished,90sqm
"KSh 14,500,000",4bdrm Townhouse/Terrace in Mtwapa Garden for Sale,4 bedrooms all ensuite Townhouse located in a secure gated community in 800 meters of...,"Kilifi, Mtwapa",3 bedrooms,2 bathrooms,Unfurnished,12sqm
"KSh 24,000,000",4bdrm Apartment in Kileleshwa for Sale,The four-bedroom apartments in Kileleshwa are ideal for a family and they come with a DSQ. These are...,"Nairobi, Kileleshwa",6 bedrooms,7 bathrooms,Semi-Furnished,1000sqm
"KSh 56,000,000",4bdrm Townhouse/Terrace in Lavington Green for Sale,Elegantly designed 5 bedrooms townhouse that boasts of brilliant dining area separate from lounge...,"Nairobi, Lavington",5 bedrooms,5 bathrooms,Unfurnished,1250sqm
"KSh 6,500,000","1bdrm Apartment in Riara Road, Maziwa for sale","Studio, 1,2&3 bedroom apartment for sale on riara road from kes 6. 5-millions.
meticulous designs of...","Nairobi, Lavington",5 bedrooms,6 bathrooms,Unfurnished,1000sqm
"KSh 9,950,000","3bdrm Bungalow in Seattle Court, Mangu for sale",Our houses are sitting on a plot size 50by100 in a controlled gated community full of security and...,"Kiambu, Gatundu North",3 bedrooms,3 bathrooms,Semi-Furnished,200sqm
"KSh 5,500,000",1bdrm Apartment in Kilimani for sale,Affordable 1 bedroom best for investment with high ROI. Attracts upwards of 65k monthly rent for...,"Nairobi, Kilimani",3 bedrooms,2 bathrooms,Unfurnished,115sqm
"KSh 6,800,000",1bdrm Apartment in Kileleshwa for Sale,"1 Bedroom apartments for sale in Kileleshwa 
67 square meters 
Under-construction 
Completion...","Nairobi, Kileleshwa",1 bedroom,1 bathroom,Unfurnished,70sqm
"KSh 4,800,000",In Kaloleni for Sale,"4 No. one bedroomed units for sale
✓ Located at Sofia Voi
✓ Freehold title
✓ spacious rooms and...","Taita Taveta, Kaloleni / Taita Taveta",4 bedrooms,4 bathrooms,Unfurnished,240sqm
"KSh 30,000,000",3bdrm Duplex in Westlands for sale,"Very spacious 3BR Duplex for sale
Grand Reception & Concierge * 4 High speed Elevators
Independent...","Nairobi, Westlands",4 bedrooms,2 bathrooms,Semi-Furnished,350sqm
"KSh 15,000,000",3bdrm Apartment in Kilimani for Sale,Highly executive with all modern amenities in a close proximity,"Nairobi, Kilimani",3 bedrooms,3 bathrooms,Unfurnished,75sqm
"KSh 6,500,000",1bdrm Apartment in Kilimani for Sale,This newly built 1bedroom apartments located in a prestigious residential address in kilimani yet...,"Nairobi, Kilimani",3 bedrooms,4 bathrooms,Unfurnished,207sqm
"KSh 15,000,000",3bdrm Apartment in Lavington for sale,Gorgeous secure 3 bedrooms apartment that offers lovely dining area separate from lounge that opens...,"Nairobi, Lavington",2 bedrooms,2 bathrooms,Unfurnished,150sqm
"KSh 200,000,000",6bdrm Maisonette in Shanzu for sale,"Shanzu 2 and 1/2 acre beach plot with a six bedroom maisonette for sale, all bedrooms are en suite,...","Mombasa, Shanzu",3 bedrooms,2 bathrooms,Unfurnished,10sqm
"KSh 70,000,000",5bdrm Maisonette in Nyali for sale,"Nyali five bedroom maisonette for sale, spacious bedrooms which are all en suite, balconies each...","Mombasa, Nyali",1 bedroom,1 bathroom,Unfurnished,67sqm
"KSh 90,000,000",5bdrm Maisonette in Nyali for sale,"Nyali five bedroom maisonette house on one acre plot, all bedrooms are en suite, balconies, very...","Mombasa, Nyali",2 bedrooms,3 bathrooms,Unfurnished,167sqm
"KSh 8,500,000","3bdrm Bungalow in Mugutha, Ruiru for sale","Newly Built House in Ruiru Behind Spar Mall
* 3 Bdrms are ensuite
 * Spacious Rooms
*Open plan...","Kiambu, Ruiru",2 bedrooms,2 bathrooms,Unfurnished,125sqm
"KSh 12,000,000",3bdrm Apartment in Hurlingham for sale,"Overview 
* three bedrooms
* location: kilimani
* status: under construction
* completion: december...","Nairobi, Kilimani",3 bedrooms,2 bathrooms,Unfurnished,42sqm
"KSh 7,500,000",1bdrm Apartment in Lavington for sale,"BOOK WITH ONLY 20%
Heated swimming pool. 
Full equipped gym. 
Children‘s play area. 
Full backer...","Nairobi, Lavington",4 bedrooms,4 bathrooms,Unfurnished,nan
"KSh 13,500,000","4bdrm Bungalow in Finpark Land And, Ruai for sale","Gleaming with Lavish design, Finpark Estate Ruai Is the ideal 'Maison de luxe' for you and your...","Nairobi, Ruai",2 bedrooms,2 bathrooms,Unfurnished,83sqm
"KSh 5,500,000","4bdrm Bungalow in Kaurai-Wambu Close, Kiserian for sale","CCTV secured one of three Identical, newly-built, 4-bedroom bungalows. One has already been sold.
...","Kajiado, Kiserian",2 bedrooms,2 bathrooms,Furnished,91sqm
"KSh 6,800,000",3bdrm Bungalow in Ngata Nakuru for Sale,Newly built house in ngata verovian for,"Nakuru, Rongai",2 bedrooms,2 bathrooms,Unfurnished,85sqm
"KSh 20,500,000",3bdrm Apartment in Kileleshwa for sale,"3 bedroom plus Dsq apartments coming up in Kileleshwa 
Size : 207 square meters 
All bedrooms are...","Nairobi, Kileleshwa",2 bedrooms,2 bathrooms,Unfurnished,135sqm
"KSh 12,500,000","2bdrm Apartment in Kilimani, Hurlingham for sale","This newly built 2,3,4bedroom apartment located in a prestigious residential address in kilimani yet...","Nairobi, Kilimani",2 bedrooms,2 bathrooms,Unfurnished,112sqm
"KSh 14,000,000",3bdrm Apartment in Kilimani for Sale,This is conveniently located in Kilimani. The apartment is in close proximity to Ngong road and its...,"Nairobi, Kilimani",3 bedrooms,3 bathrooms,Furnished,95sqm
"KSh 6,500,000","1bdrm Apartment in Kilimani, Hurlingham for Sale","Apartment complex under construction in Kilimani.
Prices calculated per square metre.
1br prices...","Nairobi, Kilimani",3 bedrooms,2 bathrooms,Unfurnished,500sqm
"KSh 18,500,000",2bdrm Apartment in Kileleshwa for sale,"It comprises of 2 bedrooms all en-suite plus DSQ along Gatundu close, Kileleshwa. Has a total of 56...","Nairobi, Kileleshwa",3 bedrooms,2 bathrooms,Unfurnished,123sqm
"KSh 11,000,000",2bdrm Apartment in Kileleshwa for sale,"Brand new, modern, tastefully done apartments located in the heart of Kileleshwa. With close...","Nairobi, Kileleshwa",4 bedrooms,5 bathrooms,Unfurnished,1000sqm
"KSh 3,800,000","3bdrm Apartment in Mwalimu Kisaju Park, Kitengela for sale","Project is situated in kisaju area, 8kms from kitengela and 800m from the namanga road.
 Salient...","Kajiado, Kitengela",3 bedrooms,3 bathrooms,Unfurnished,187sqm
"KSh 36,000,000",4bdrm Duplex in Kilimani for Sale,"Apartment features
 * semi open kitchen plan
 * spacious and bright living area
 * gypsum ceiling...","Nairobi, Kilimani",2 bedrooms,2 bathrooms,Unfurnished,110sqm
"KSh 8,300,000","2bdrm Apartment in Kindaruma Homes, Kilimani for sale",2 bedrooms apartments located in kilimani along kibdaruma road within few radius of social amenities...,"Nairobi, Kilimani",4 bedrooms,4 bathrooms,Furnished,1012sqm
"KSh 8,000,800",Furnished 2bdrm Apartment in Lavington for sale,"ILavington 
1 bedroom 55sqm Ksh5.5m
2Br 79sqm Ksh7.5m
2br 91sqm Ksh8.8m
New project for sale in...","Nairobi, Lavington",2 bedrooms,2 bathrooms,Unfurnished,118sqm
